Mnis Id,Member,Party,Donations Penalty,Employment Penalty,Gifts Penalty,Overseas Penalty,Property Penalty,Shareholdings Penalty,Family Penalty,Miscellaneous Penalty,Raw Interest Penalty,Concentration Penalty,Rectification Count,Transparency Penalty,Total Raw Penalty,Calibration K,Final Score,Grade
1516,Andy Slaughter,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,10.0,0,0.0,22.0,81.0,78.64077669902913,B
4425,Jo Stevens,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,10.0,0,0.0,22.0,81.0,78.64077669902913,B
410,Jon Trickett,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,10.0,0,0.0,22.0,81.0,78.64077669902913,B
4679,Neil O'Brien,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,10.0,0,0.0,22.0,81.0,78.64077669902913,B
1587,Pat McFadden,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,10.0,0,0.0,22.0,81.0,78.64077669902913,B
4942,Richard Foord,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,10.0,0,0.0,22.0,81.0,78.64077669902913,B
4798,Gareth Bacon,,0.0,0.0,0.0,12.75,0.0,0.0,0.0,0.0,12.75,10.0,0,0.0,22.75,81.0,78.0722891566265,B
1491,Kerry McCarthy,,0.0,0.0,0.0,12.75,0.0,0.0,0.0,0.0,12.75,10.0,0,0.0,22.75,81.0,78.0722891566265,B
473,Sir Mark Hendrick,,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,20.0,3.0,0,0.0,23.0,81.0,77.88461538461539,B
4736,Dave Doogan,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,16.0,8.0,0,0.0,24.0,81.0,77.14285714285714,B
4569,Jim McMahon,,0.0,0.0,0.0,9.0,0.0,0.0,0.0,12.0,21.0,3.0,0,0.0,24.0,81.0,77.14285714285714,B
4511,Dr Rupa Huq,,0.0,0.0,5.0,13.5,0.0,0.0,0.0,0.0,18.5,6.0,0,0.0,24.5,81.0,76.77725118483413,B
4993,Keir Mather,,15.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.75,10.0,0,0.0,25.75,81.0,75.87822014051521,B
4397,Peter Dowd,,0.0,0.0,0.0,15.75,0.0,0.0,0.0,0.0,15.75,10.0,0,0.0,25.75,81.0,75.87822014051521,B
4436,Cat Smith,,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,16.5,10.0,0,0.0,26.5,81.0,75.34883720930232,B
4943,Simon Lightwood,,16.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.625,10.0,0,0.0,26.625,81.0,75.26132404181185,B
4620,Ellie Reeves,,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,24.0,3.0,0,0.0,27.0,81.0,75.0,B
4598,Mohammad Yasin,,0.0,0.0,3.5,15.75,0.0,0.0,0.0,0.0,19.25,8.0,0,0.0,27.25,81.0,74.82678983833719,B-
4510,Helen Hayes,,0.0,0.0,0.0,15.0,0.0,0.0,0.0,12.0,27.0,3.0,0,0.0,30.0,81.0,72.97297297297298,B-
1593,Sammy Wilson,,0.0,0.0,0.0,15.75,0.0,0.0,0.0,12.0,27.75,3.0,0,0.0,30.75,81.0,72.48322147651007,B-
4460,Ms Nusrat Ghani,,0.0,0.0,16.0,0.0,0.0,0.0,0.0,12.0,28.0,3.0,0,0.0,31.0,81.0,72.32142857142857,B-
4082,Lisa Nandy,,21.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.875,10.0,0,0.0,31.875,81.0,71.76079734219269,B-
5001,Sarah Edwards,,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,10.0,0,0.0,32.0,81.0,71.68141592920354,B-
